"","midptage","age","sex","location","cause","avgIR","avgCF","year"
"1",22,"20 to 24","Female","Global","Hypertensive heart disease",1.8032181257807e-06,0.106477757484967,2019
"2",22,"20 to 24","Female","Global","Intracerebral hemorrhage",1.14725320806994e-05,0.0138789024245506,2019
"3",22,"20 to 24","Female","Global","Ischemic heart disease",2.12864481315452e-05,0.054224627173239,2019
"4",22,"20 to 24","Female","Global","Ischemic stroke",2.71173666308189e-06,0.00116596237174516,2019
"5",22,"20 to 24","Male","Global","Hypertensive heart disease",1.97352504632637e-06,0.0920564133663028,2019
"6",22,"20 to 24","Male","Global","Intracerebral hemorrhage",1.97958009740735e-05,0.0312186878687362,2019
"7",22,"20 to 24","Male","Global","Ischemic heart disease",3.89531543667102e-05,0.0923351279443971,2019
"8",22,"20 to 24","Male","Global","Ischemic stroke",3.36241297413295e-06,0.00207787836421667,2019
"9",27,"25 to 29","Female","Global","Hypertensive heart disease",3.30531444397458e-06,0.0520727734094691,2019
"10",27,"25 to 29","Female","Global","Intracerebral hemorrhage",1.57041035047904e-05,0.0145386237414824,2019
"11",27,"25 to 29","Female","Global","Ischemic heart disease",3.03657004652735e-05,0.0267872807021158,2019
"12",27,"25 to 29","Female","Global","Ischemic stroke",3.58431342062203e-06,0.00128377388297297,2019
"13",27,"25 to 29","Male","Global","Hypertensive heart disease",3.80287144672268e-06,0.0446128187435732,2019
"14",27,"25 to 29","Male","Global","Intracerebral hemorrhage",2.74722992403775e-05,0.031022535654141,2019
"15",27,"25 to 29","Male","Global","Ischemic heart disease",6.90361711163122e-05,0.0519875810300522,2019
"16",27,"25 to 29","Male","Global","Ischemic stroke",4.72462404356572e-06,0.00239298448547437,2019
"17",32,"30 to 34","Female","Global","Hypertensive heart disease",6.50696248223301e-06,0.0492451746374778,2019
"18",32,"30 to 34","Female","Global","Intracerebral hemorrhage",2.61437262681603e-05,0.0181409369963096,2019
"19",32,"30 to 34","Female","Global","Ischemic heart disease",5.68551085565419e-05,0.0238056372888246,2019
"20",32,"30 to 34","Female","Global","Ischemic stroke",5.98020964091655e-06,0.00173727438453033,2019
"21",32,"30 to 34","Male","Global","Hypertensive heart disease",8.10569851562769e-06,0.0450056748730819,2019
"22",32,"30 to 34","Male","Global","Intracerebral hemorrhage",4.93174326204385e-05,0.038888645972236,2019
"23",32,"30 to 34","Male","Global","Ischemic heart disease",0.000144398111860937,0.0486058498216342,2019
"24",32,"30 to 34","Male","Global","Ischemic stroke",8.04163472152231e-06,0.0032032797063694,2019
"25",37,"35 to 39","Female","Global","Hypertensive heart disease",1.2435200558786e-05,0.0555920685734709,2019
"26",37,"35 to 39","Female","Global","Intracerebral hemorrhage",5.02281231370022e-05,0.0259358812000476,2019
"27",37,"35 to 39","Female","Global","Ischemic heart disease",9.6576163108673e-05,0.0219882938382832,2019
"28",37,"35 to 39","Female","Global","Ischemic stroke",1.05319413916962e-05,0.00240198303307251,2019
"29",37,"35 to 39","Male","Global","Hypertensive heart disease",1.54232669206616e-05,0.0525998426147918,2019
"30",37,"35 to 39","Male","Global","Intracerebral hemorrhage",9.20296717554691e-05,0.048446394534053,2019
"31",37,"35 to 39","Male","Global","Ischemic heart disease",0.000261254542046989,0.0446346746223257,2019
"32",37,"35 to 39","Male","Global","Ischemic stroke",1.46445795036187e-05,0.00441304167196346,2019
"33",42,"40 to 44","Female","Global","Hypertensive heart disease",2.28778154006782e-05,0.0505140153472072,2019
"34",42,"40 to 44","Female","Global","Intracerebral hemorrhage",9.85679920964342e-05,0.0376579233199275,2019
"35",42,"40 to 44","Female","Global","Ischemic heart disease",0.000182210796370769,0.0229525288019577,2019
"36",42,"40 to 44","Female","Global","Ischemic stroke",2.10234656786718e-05,0.00365854177930781,2019
"37",42,"40 to 44","Male","Global","Hypertensive heart disease",3.12541456412728e-05,0.0531668282054008,2019
"38",42,"40 to 44","Male","Global","Intracerebral hemorrhage",0.000183487218426787,0.0636210779171886,2019
"39",42,"40 to 44","Male","Global","Ischemic heart disease",0.000472630868226802,0.0416662199840135,2019
"40",42,"40 to 44","Male","Global","Ischemic stroke",3.08122576752777e-05,0.00675245349008778,2019
"41",47,"45 to 49","Female","Global","Hypertensive heart disease",4.33507865732059e-05,0.0375623105474414,2019
"42",47,"45 to 49","Female","Global","Intracerebral hemorrhage",0.000184276240967321,0.0496220764168059,2019
"43",47,"45 to 49","Female","Global","Ischemic heart disease",0.000308616130012038,0.0224022465948666,2019
"44",47,"45 to 49","Female","Global","Ischemic stroke",3.95257169105744e-05,0.00491850252518104,2019
"45",47,"45 to 49","Male","Global","Hypertensive heart disease",5.72665763967316e-05,0.0391569048808026,2019
"46",47,"45 to 49","Male","Global","Intracerebral hemorrhage",0.000326801951310902,0.0727433981275431,2019
