Year,aroc,p_change,a_change
2017,0,0,0
2018,0,0,0
2019,0,0,0
2020,0,0,0
2021,0,0,0
2022,0,0,0
2023,0.00976564166523658,0.0282377675256555,0.0393611573511715
2024,0.0185177948338053,0.0546429706521497,0.0794060685255602
2025,0.0262968121702477,0.0787141092214682,0.119240365650841
2026,0.0331594563551981,0.100135040907454,0.15795830578674
2027,0.0391734845188971,0.118778523195843,0.194724381327005
2028,0.0444128579555552,0.134683497370334,0.228846043924627
2029,0.0489537740544927,0.148015936348188,0.259824133779947
2030,0.052871579102455,0.159024315841199,0.287373513282903
2031,0.0562385214476539,0.167998537184453,0.311414145515995
2032,0.0591222441718149,0.175237366463338,0.332039438854033
2033,0.0615848883149009,0.18102591920001,0.349472038709399
2034,0.0636826729104281,0.185622327545234,0.3640170755689
2035,0.0654658279694996,0.189251586565273,0.376020291832463
2036,0.066978774073475,0.192104361333718,0.385835064465857
2037,0.0682604623877629,0.194338830106368,0.393799364154039
2038,0.0693448085334076,0.196084115636136,0.400221722867673
2039,0.0702611711392673,0.19744432614158,0.405374337614339
2040,0.071034840344141,0.198502607147348,0.409491247613068
2041,0.0716875129518302,0.199324878177005,0.412769759271571
2042,0.0722377396328045,0.199963107504841,0.415373700194571
2043,0.0727013359348907,0.200458086750681,0.417437501296553
2044,0.0730917533666705,0.200841727091974,0.419070459196057
2045,0.0734204098747086,0.201138927771656,0.420360797126939
2046,0.0736969810132045,0.201369077874118,0.421379327056949
2047,0.0739296542980803,0.201547252295202,0.422182634766141
2048,0.0741253498782197,0.201685157618828,0.422815781060085
2049,0.0742899109197497,0.201791876297027,0.423314551338125
2050,0.0744282671141381,0.201874449818577,0.423707304037626
